"";"level";"D";"E";"p"
"SEXO (%)";"F";"    7 ( 26.9) ";"    7 ( 26.9) ";" 1.000"
"";"M";"   19 ( 73.1) ";"   19 ( 73.1) ";""
"RACA (%)";"Outros";"    7 ( 26.9) ";"    7 ( 26.9) ";" 1.000"
"";"Branca";"   19 ( 73.1) ";"   19 ( 73.1) ";""
"TORCAO (mean (sd))";"";"14.15 (10.30)";"15.00 (7.81)";" 0.740"
"ALFA (mean (sd))";"";"63.84 (14.03)";"55.42 (12.04)";" 0.026"
"CAM (%)";"N";"    4 ( 15.4) ";"    4 ( 15.4) ";" 1.000"
"";"D";"    6 ( 23.1) ";"    6 ( 23.1) ";""
"";"E";"    2 (  7.7) ";"    2 (  7.7) ";""
"";"B";"   14 ( 53.8) ";"   14 ( 53.8) ";""
"PINCER (%)";"N";"    9 ( 34.6) ";"    9 ( 34.6) ";" 1.000"
"";"D";"    4 ( 15.4) ";"    4 ( 15.4) ";""
"";"E";"    3 ( 11.5) ";"    3 ( 11.5) ";""
"";"B";"   10 ( 38.5) ";"   10 ( 38.5) ";""
"MISTO (%)";"Simples";"   15 ( 57.7) ";"   15 ( 57.7) ";" 1.000"
"";"D";"    4 ( 15.4) ";"    4 ( 15.4) ";""
"";"E";"    2 (  7.7) ";"    2 (  7.7) ";""
"";"B";"    5 ( 19.2) ";"    5 ( 19.2) ";""
"IMPACTO (%)";"NORMAL";"   11 ( 42.3) ";"    9 ( 34.6) ";" 0.532"
"";"CAM";"    9 ( 34.6) ";"    7 ( 26.9) ";""
"";"PINCER";"    1 (  3.8) ";"    4 ( 15.4) ";""
"";"MISTO";"    5 ( 19.2) ";"    6 ( 23.1) ";""
