"";"level";"Overall"
"n";"";"    26"
"SEXO (%)";"F";"     7 (26.9) "
"";"M";"    19 (73.1) "
"IDADE (mean (sd))";"";" 35.00 (6.70)"
"RACA (%)";"Outros";"     7 (26.9) "
"";"Branca";"    19 (73.1) "
"IMC (mean (sd))";"";" 24.02 (4.15)"
"LADO DOR (%)";"D";"    13 (50.0) "
"";"E";"     4 (15.4) "
"";"B";"     9 (34.6) "
"HHS (mean (sd))";"";" 67.12 (13.25)"
"TORCAO D (mean (sd))";"";" 14.15 (10.30)"
"TORCAO E (mean (sd))";"";" 15.00 (7.81)"
"TONNIS D (%)";"0";"     9 (34.6) "
"";"1";"    14 (53.8) "
"";"2";"     3 (11.5) "
"TONNIS E (%)";"0";"    11 (42.3) "
"";"1";"    11 (42.3) "
"";"2";"     4 (15.4) "
"ACB D (mean (sd))";"";" 34.68 (8.93)"
"ACB E (mean (sd))";"";" 32.00 (7.48)"
"IA D (mean (sd))";"";"  1.42 (4.94)"
"IA E (mean (sd))";"";"  0.73 (5.33)"
"ACD D (mean (sd))";"";"135.77 (5.55)"
"ACD E (mean (sd))";"";"134.19 (5.06)"
"ALFA D (mean (sd))";"";" 63.84 (14.03)"
"ALFA E (mean (sd))";"";" 55.42 (12.04)"
"I. EXTRU D (mean (sd))";"";" 14.52 (10.76)"
"I. EXTRU E (mean (sd))";"";" 14.92 (13.00)"
"CAM (%)";"N";"     4 (15.4) "
"";"D";"     6 (23.1) "
"";"E";"     2 ( 7.7) "
"";"B";"    14 (53.8) "
"PINCER (%)";"N";"     9 (34.6) "
"";"D";"     4 (15.4) "
"";"E";"     3 (11.5) "
"";"B";"    10 (38.5) "
"MISTO (%)";"Simples";"    15 (57.7) "
"";"D";"     4 (15.4) "
"";"E";"     2 ( 7.7) "
"";"B";"     5 (19.2) "
